state,combined_name,company_name,ticker,product_type,product_units,jan_2019,feb_2019,mar_2019,apr_2019,may_2019,jun_2019,jul_2019,aug_2019,sep_2019,oct_2019,nov_2019,dec_2019,jan_2020,feb_2020,mar_2020,apr_2020,may_2020,jun_2020,jul_2020,aug_2020,sep_2020,oct_2020,nov_2020,dec_2020,jan_2021,feb_2021,mar_2021
ND,ConocoPhillips Co (COP),ConocoPhillips Co,COP,sat estimate upper,Mcf,856680,610781,1233250,880771,979850,1118270,1213471,1127591,766179,599444,553039,645425,656849,513777,600027,585997,137326,50214,124686,365419,542143,418038,427714,433971,334679,460360,435524
ND,ConocoPhillips Co (COP),ConocoPhillips Co,COP,blended estimate,Mcf,645185,429280,1102872,1133986,1089519,1025706,1205217,1033968,815165,668135,723325,601660,652523,492550,537711,423127,113571,71665,122666,321334,419821,369954,366718,296551,241721,355886,419792
ND,ConocoPhillips Co (COP),ConocoPhillips Co,COP,produced oil,Bbl,3271769,2382795,2880232,3266516,3177262,2835360,2938158,3009813,2681555,2858862,2689140,2583805,2584538,2518983,2729719,2737168,1113658,364162,1429923,2422599,2791755,2949523,2439565,2589569,2502390,2091806,
ND,ConocoPhillips Co (COP),ConocoPhillips Co,COP,produced gas,Mcf,4712605,3520624,5479972,6254901,6291489,5862958,6043138,6311683,5655468,5934143,5745414,5448795,5429145,5432639,6165858,6342474,2264077,739424,2653711,4834147,5864002,6601523,5470730,6226187,6443143,5292409,
ND,Continental Resources Inc (CLR),Continental Resources Inc,CLR,reported equivalent co2 released,Metric tons,101727.4868,96341.7428,100669.6276,103825.7788,107304.5376,170785.7344,146645.7864,114269.5628,135188.3120,126818.8724,124258.2876,105696.1028,84684.5224,75305.2284,90700.0280,84847.3332,56606.1532,28628.3420,43021.6716,46293.5604,40681.3280,40068.6640,45674.2108,36851.5752,32165.2984,35051.1760,37095.5448
ND,Continental Resources Inc (CLR),Continental Resources Inc,CLR,blended estimate equivalent co2 released,Metric tons,101564.2376,91420.0452,124137.8372,85089.8780,98831.2520,156372.1288,141720.0336,110510.1732,125733.3940,114041.4852,102662.9776,95025.3372,78544.7304,76175.7812,94266.7956,87468.4172,58711.5144,15876.9300,36872.4540,42756.8780,44599.7472,32678.0072,46137.2160,36163.9996,26260.0504,42804.9376,41078.1896
ND,Continental Resources Inc (CLR),Continental Resources Inc,CLR,sat estimated volume,Mcf,1850383,1578437,2693542,1210839,1648868,2590484,2496245,1948008,2121871,1847884,1479338,1539317,1321258,1405956,1785285,1643968,1109797,57035,560644,715698,885369,461448,850370,647380,371438,922605,749602
ND,Continental Resources Inc (CLR),Continental Resources Inc,CLR,reported volume,Mcf,1856341,1758061,1837037,1894631,1958112,3116528,2676018,2085211,2466940,2314213,2267487,1928761,1545338,1374183,1655110,1548309,1032959,522415,785067,844773,742360,731180,833471,672474,586958,639620,676926
ND,Continental Resources Inc (CLR),Continental Resources Inc,CLR,sat estimate lower,Mcf,1644833,1403096,2394329,1076332,1465703,2302720,2218950,1731613,1886163,1642612,1315005,1368322,1174486,1249775,1586966,1461348,986515,50700,498365,636194,787018,410188,755907,575465,330177,820117,666332
ND,Continental Resources Inc (CLR),Continental Resources Inc,CLR,sat estimate upper,Mcf,2055933,1753778,2992754,1345345,1832033,2878248,2773541,2164402,2357579,2053157,1643670,1710312,1468030,1562136,1983603,1826589,1233078,63371,622923,795201,983720,512708,944833,719294,412699,1025092,832871
ND,Continental Resources Inc (CLR),Continental Resources Inc,CLR,blended estimate,Mcf,1853362,1668249,2265289,1552735,1803490,2853506,2586132,2016609,2294405,2081049,1873412,1734039,1433298,1390069,1720197,1596139,1071378,289725,672855,780235,813864,596314,841920,659927,479198,781112,749602
ND,Continental Resources Inc (CLR),Continental Resources Inc,CLR,produced oil,Bbl,6276261,5449428,6051135,5836601,5974989,5763305,6088272,6151821,6043841,6394801,6143911,5752776,5840419,5389212,6166157,4461595,2340825,707790,3133681,5438433,5619381,5558719,5345759,4934652,4613864,3768189,
ND,Continental Resources Inc (CLR),Continental Resources Inc,CLR,produced gas,Mcf,12874897,11380027,13050488,12904218,12986295,12675069,13426085,13850555,13728369,14721957,14622080,14672435,15196385,14548642,16546437,12118567,5784247,1768773,7127381,13114646,14430138,15382416,15366774,14848785,14063851,11976249,
ND,Crescent Point Energy Corp (CPG),Crescent Point Energy Corp,CPG,reported equivalent co2 released,Metric tons,11510.6852,15629.8368,3058.7716,2534.9932,3988.5632,8392.7296,2954.9256,2008.3104,1404.4144,1662.3032,3788.7076,1653.0968,13300.0696,7306.0456,7153.3180,4005.9348,651.9008,890.2260,2095.7712,7447.4844,589.8672,1265.1676,620.2812,1559.9916,1783.3564,1728.3372,2369.3328
ND,Crescent Point Energy Corp (CPG),Crescent Point Energy Corp,CPG,blended estimate equivalent co2 released,Metric tons,10835.8780,10879.4440,6175.1928,3776.5420,2892.7276,5771.4264,1978.3348,1552.8128,1732.0636,1559.7724,2412.5152,2807.5136,14197.3100,6734.1528,4891.1740,4356.8740,1889.9424,1908.5744,2272.5560,7377.7788,1009.9092,1210.6416,546.1368,1341.9424,1565.7456,1436.6916,1204.5040
ND,Crescent Point Energy Corp (CPG),Crescent Point Energy Corp,CPG,sat estimated volume,Mcf,185422,111843,169554,91572,32791,57485,18280,20023,37587,26591,18910,72297,275447,112449,47975,85910,57080,53411,44696,133358,26094,21097,8613,20509,24601,20896,21980
ND,Crescent Point Energy Corp (CPG),Crescent Point Energy Corp,CPG,reported volume,Mcf,210049,285216,55817,46259,72784,153152,53922,36648,25628,30334,69137,30166,242702,133322,130535,73101,11896,16245,38244,135903,10764,23087,11319,28467,32543,31539,43236
ND,Crescent Point Energy Corp (CPG),Crescent Point Energy Corp,CPG,sat estimate lower,Mcf,175328,105755,160324,86587,31006,54355,17285,18933,35541,25143,17881,68362,260453,106328,45363,81233,53973,50504,42263,126098,24673,19949,8144,19393,23262,19758,20784
ND,Crescent Point Energy Corp (CPG),Crescent Point Energy Corp,CPG,sat estimate upper,Mcf,195515,117932,178784,96557,34576,60614,19275,21113,39633,28039,19940,76233,290442,118571,50587,90587,60187,56319,47129,140618,27514,22246,9081,21626,25941,22033,23177
ND,Crescent Point Energy Corp (CPG),Crescent Point Energy Corp,CPG,blended estimate,Mcf,197735,198530,112686,68915,52787,105318,36101,28336,31607,28463,44024,51232,259075,122886,89255,79505,34488,34828,41470,134631,18429,22092,9966,24488,28572,26217,21980
ND,Crescent Point Energy Corp (CPG),Crescent Point Energy Corp,CPG,produced oil,Bbl,604293,528303,556119,478176,446112,343548,277267,320810,361401,455607,501193,552884,587720,501230,522968,455366,347888,392100,372832,377427,406615,380269,334961,387892,534344,461359,
ND,Crescent Point Energy Corp (CPG),Crescent Point Energy Corp,CPG,produced gas,Mcf,689246,695987,587995,580959,714142,644182,550730,502245,485083,550445,620757,604091,702221,658082,699046,649316,475997,496122,526200,544437,583629,573420,557253,628440,737864,636908,
ND,Denbury Resources Inc (DNR),Denbury Resources Inc,DNR,blended estimate equivalent co2 released,Metric tons,111.3536,47.3472,,175.2504,706.4268,874.1148,1414.4428,1599.0640,1701.4304,1429.1840,1430.0608,1427.8140,1410.4424,1483.3812,1249.8236,1221.4920,1249.3304,1142.7992,1579.3908,1711.5136,1632.2728,1427.8140,1354.7108,1434.0612,1235.3016,1145.2104,1150.1972
ND,Denbury Resources Inc (DNR),Denbury Resources Inc,DNR,reported equivalent co2 released,Metric tons,196.8964,65.5408,,312.9080,729.9908,987.2768,1672.8796,1292.7320,1278.9772,1442.3908,1715.8976,1677.2636,1669.4820,1636.9308,1611.9420,1501.0816,1491.2724,1541.2500,1959.8124,2127.7196,2143.0636,2060.8636,1972.2520,2063.0008,2046.7800,1758.9704,1826.3196
ND,Denbury Resources Inc (DNR),Denbury Resources Inc,DNR,sat estimated volume,Mcf,471,533,,685,12462,13886,21094,34770,38758,25839,20879,21502,21011,24266,16198,17188,18383,13583,21878,23637,20465,14504,13452,14691,7735,9698,20989
ND,Denbury Resources Inc (DNR),Denbury Resources Inc,DNR,reported volume,Mcf,3593,1196,,5710,13321,18016,30527,23590,23339,26321,31312,30607,30465,29871,29415,27392,27213,28125,35763,38827,39107,37607,35990,37646,37350,32098,33327
ND,Denbury Resources Inc (DNR),Denbury Resources Inc,DNR,sat estimate lower,Mcf,291,329,,423,7689,8567,13015,21452,23913,15942,12882,13267,12963,14972,9994,10605,11342,8380,13499,14583,12626,8948,8300,9064,4772,5984,12950
ND,Denbury Resources Inc (DNR),Denbury Resources Inc,DNR,sat estimate upper,Mcf,652,737,,948,17235,19204,29174,48088,53603,35736,28876,29738,29059,33561,22403,23771,25424,18785,30258,32690,28303,20059,18604,20318,10697,13413,29028
ND,Denbury Resources Inc (DNR),Denbury Resources Inc,DNR,blended estimate,Mcf,2032,864,,3198,12891,15951,25811,29180,31048,26080,26096,26055,25738,27069,22807,22290,22798,20854,28821,31232,29786,26055,24721,26169,22542,20898,20989
ND,Denbury Resources Inc (DNR),Denbury Resources Inc,DNR,produced oil,Bbl,201850,176079,,185675,191595,181429,180485,183316,176969,180076,174050,172769,174362,161646,172163,164397,152062,151581,153616,147125,149398,152209,148232,151284,154776,132143,
ND,Denbury Resources Inc (DNR),Denbury Resources Inc,DNR,produced gas,Mcf,56172,42999,,45518,43024,44877,34616,27679,27299,30410,35272,34696,34554,33702,33504,31352,31302,32083,39844,42899,43054,41680,39935,41732,41418,35768,
ND,Devon Energy Corp (DVN),Devon Energy Corp,DVN,blended estimate equivalent co2 released,Metric tons,26876.2216,22276.5288,27251.6016,18201.0528,26208.1000,35671.6764,42148.3240,37255.1224,25942.3748,40424.9188,32192.5340,35739.7928,32290.8452,32827.1180,38444.7208,29782.5944,11902.0668,19230.7448,19615.0572,21114.6044,25573.7352,39857.9032,45224.2480,32459.3552,18217.0544,18699.6780,12034.9568
ND,Devon Energy Corp (DVN),Devon Energy Corp,DVN,reported equivalent co2 released,Metric tons,39001.4340,28625.0540,31690.9496,25828.6100,33875.2776,40139.4108,43462.7568,37140.3164,30551.4932,49271.0636,43035.3168,42468.3560,37080.0912,41350.4908,48598.3388,33785.7344,12532.1024,24349.7224,23481.4712,24768.1752,27021.8252,44598.8704,42353.5500,36047.7140,23533.8052,23430.7812,24328.6244
ND,Devon Energy Corp (DVN),Devon Energy Corp,DVN,sat estimated volume,Mcf,269180,290657,416283,192948,338338,569414,745145,681933,389294,576255,389594,529401,501853,443498,516261,470428,205694,257515,287385,318632,440249,640821,877645,526842,235407,254902,219616
ND,Devon Energy Corp (DVN),Devon Energy Corp,DVN,reported volume,Mcf,711705,522355,578302,471325,618162,732471,793116,677743,557509,899107,785316,774970,676644,754571,886831,616528,228688,444338,428494,451974,493099,813848,772875,657805,429449,427569,443953
ND,Devon Energy Corp (DVN),Devon Energy Corp,DVN,sat estimate lower,Mcf,192672,208045,297964,138107,242173,407572,533355,488110,278646,412468,278861,378931,359214,317444,369526,336720,147230,184322,205702,228069,315119,458683,628195,377100,168498,182452,157195
ND,Devon Energy Corp (DVN),Devon Energy Corp,DVN,sat estimate upper,Mcf,345687,373269,534601,247788,434502,731257,956935,875757,499941,740041,500327,679871,644493,569552,662996,604137,264157,330707,369067,409196,565379,822959,1127095,676585,302316,327351,282037
ND,Devon Energy Corp (DVN),Devon Energy Corp,DVN,blended estimate,Mcf,490442,406506,497292,332136,478250,650943,769130,679838,473401,737681,587455,652186,589249,599035,701546,543478,217191,350926,357939,385303,466674,727334,825260,592324,332428,341235,219616
ND,Devon Energy Corp (DVN),Devon Energy Corp,DVN,produced oil,Bbl,2430061,1993918,2297963,2180290,2189786,2338279,2616867,2746030,2630747,2839375,2711290,2896821,2846071,2777763,2853240,2603228,1787765,2072247,2149617,2438995,2419133,3072500,3431910,3164057,2741143,1932251,
ND,Devon Energy Corp (DVN),Devon Energy Corp,DVN,produced gas,Mcf,3048610,2436449,2863939,2789073,2799557,2864600,3266886,3518325,3763319,4109675,4024052,4006044,3983792,3992100,4222767,3928279,3020848,3315570,3521001,3955789,3993196,4837815,5129639,5137146,4689924,3378399,
ND,EOG Resources Inc (EOG),EOG Resources Inc,EOG,blended estimate equivalent co2 released,Metric tons,4545.9340,5719.4760,6881.7840,5099.5236,5589.8740,6206.8672,3335.8952,5065.5476,5654.3736,8192.6000,4789.2460,8523.2084,4070.5988,2477.1792,1815.5788,1129.4280,1849.8288,1795.4672,1649.2608,1665.5912,774.3788,625.9804,517.9148,783.2564,450.9492,511.0100,344.8016
ND,EOG Resources Inc (EOG),EOG Resources Inc,EOG,reported equivalent co2 released,Metric tons,7001.2480,8991.8032,8504.8504,6524.7620,7877.8836,9727.2740,3468.2372,4602.6520,6707.3008,9181.2468,4111.7536,7549.4672,3829.7528,3113.1880,1755.8468,1047.7760,3266.7924,1619.7784,1361.9444,1405.1268,777.8860,631.1864,818.1092,948.6976,516.0516,605.1016,
ND,EOG Resources Inc (EOG),EOG Resources Inc,EOG,sat estimated volume,Mcf,38150,44656,95961,67049,60253,49023,58459,100884,83968,131459,99759,173302,78675,33598,34221,22100,7899,35969,35339,35146,14067,11328,3973,11274,7040,7607,6292
ND,EOG Resources Inc (EOG),EOG Resources Inc,EOG,reported volume,Mcf,127760,164084,155198,119065,143757,177505,63289,83990,122396,167541,75032,137764,69886,56810,32041,19120,59613,29558,24853,25641,14195,11518,14929,17312,9417,11042,
ND,EOG Resources Inc (EOG),EOG Resources Inc,EOG,sat estimate lower,Mcf,37806,44254,95097,66445,59710,48581,57933,99975,83211,130275,98860,171741,77967,33295,33913,21901,7828,35645,35021,34830,13940,11226,3937,11172,6977,7539,6235
ND,EOG Resources Inc (EOG),EOG Resources Inc,EOG,sat estimate upper,Mcf,38493,45058,96825,67653,60795,49464,58986,101792,84724,132643,100657,174863,79384,33901,34530,22299,7971,36293,35657,35463,14194,11430,4009,11375,7104,7676,6349
ND,EOG Resources Inc (EOG),EOG Resources Inc,EOG,blended estimate,Mcf,82955,104370,125580,93057,102005,113264,60874,92437,103182,149500,87395,155533,74281,45204,33131,20610,33756,32764,30096,30394,14131,11423,9451,14293,8229,9325,6292
ND,EOG Resources Inc (EOG),EOG Resources Inc,EOG,produced oil,Bbl,1369532,1139757,1165886,1036509,1048430,741939,868100,1153671,1580369,1791118,1572718,1451870,1219842,1145554,1144014,761041,219623,766365,929560,955438,854803,865458,902289,872644,823020,815961,
ND,EOG Resources Inc (EOG),EOG Resources Inc,EOG,produced gas,Mcf,2862586,2435026,2588504,2415703,2524478,1927698,2111270,2493139,2997012,3403757,3277757,3363401,2998898,3006002,2919366,1680115,321896,1620885,2012150,2351746,2207892,2369793,2433793,2527909,2499321,2214659,
ND,Enerplus Corp (ERF),Enerplus Corp,ERF,blended estimate equivalent co2 released,Metric tons,37087.4892,30591.8260,40117.1072,41866.2136,54235.7792,64110.1364,103291.8076,58188.0100,53302.6996,47848.4008,48574.1172,38121.2912,31129.6332,26988.9452,31483.4768,25942.9228,13420.5200,25567.2140,23358.2260,27360.2152,22688.3508,17390.3416,19065.7420,15344.2192,11750.5996,15385.9220,10191.4848
ND,Enerplus Corp (ERF),Enerplus Corp,ERF,reported equivalent co2 released,Metric tons,60183.8808,54986.0460,59300.7788,67963.7820,83492.6772,99554.7764,134199.6104,81345.3940,77234.8460,59011.3800,73545.8744,49710.4500,38422.9652,27819.0008,24072.4892,15444.0648,12314.8204,19083.3876,14653.0268,19646.2384,15462.6420,18527.7156,18929.0160,17007.2896,15736.9160,17894.1728,8738.1888
ND,Enerplus Corp (ERF),Enerplus Corp,ERF,sat estimated volume,Mcf,255312,113094,381997,287749,455820,523093,1320876,639245,535959,669442,430700,484162,434968,477351,709753,664996,265078,584873,585099,640040,545877,296587,350410,249656,141684,234994,185976
ND,Enerplus Corp (ERF),Enerplus Corp,ERF,reported volume,Mcf,1098246,1003395,1082131,1240215,1523589,1816693,2448898,1484405,1409395,1076850,1342078,907125,701149,507646,439279,281826,224723,348237,267391,358508,282165,338097,345420,310352,287170,326536,159456
ND,Enerplus Corp (ERF),Enerplus Corp,ERF,sat estimate lower,Mcf,200429,88783,299881,225893,357835,410647,1036935,501830,420748,525536,338115,380085,341466,374738,557182,522046,208095,459146,459324,502454,428533,232831,275085,195989,111227,184479,145998
ND,Enerplus Corp (ERF),Enerplus Corp,ERF,sat estimate upper,Mcf,310195,137405,464112,349604,553804,635539,1604816,776659,651171,813348,523285,588240,528471,579965,862324,807946,322060,710599,710874,777625,663221,360342,425736,303323,172141,285509,225954
ND,Enerplus Corp (ERF),Enerplus Corp,ERF,blended estimate,Mcf,676779,558245,732064,763982,989704,1169893,1884887,1061825,972677,873146,886389,695644,568059,492499,574516,473411,244900,466555,426245,499274,414021,317342,347915,280004,214427,280765,185976
ND,Enerplus Corp (ERF),Enerplus Corp,ERF,produced oil,Bbl,2352393,2157323,2459252,2420559,2615945,2606329,3010376,2835398,2741707,2782741,2990747,2748147,2456387,2235399,2316578,1917212,1479521,1805372,1982029,1828345,1730792,1759409,1676316,1680865,1611645,1415543,
ND,Enerplus Corp (ERF),Enerplus Corp,ERF,produced gas,Mcf,3746113,3366565,4153315,4034352,4439593,4658181,5362964,5286374,4975612,4672744,5096708,4848526,4741054,4533886,4789562,3659102,2647366,3188932,3449631,3535223,3360795,3550174,3272751,3363626,3428706,3108516,
ND,Equinor ASA (EQNR),Equinor ASA,EQNR,reported equivalent co2 released,Metric tons,19505.3476,13559.8216,33317.9068,30275.6300,20072.4180,30781.5436,21714.7740,16262.7768,12845.7776,23930.2284,24954.1664,34721.7184,21771.2180,22527.5128,27079.8584,17803.7528,14925.3828,12653.2652,14171.4444,23024.1104,7663.9444,13928.9544,8202.7928,7990.7168,7160.0584,10490.9120,
ND,Equinor ASA (EQNR),Equinor ASA,EQNR,blended estimate equivalent co2 released,Metric tons,15153.1864,12066.7408,37328.6092,24755.5164,16130.6540,25066.9996,17567.5100,15166.5576,9365.5392,18406.0048,17197.9388,36616.0448,25952.8964,17249.8344,17737.3352,12119.4584,11701.9920,11008.4980,10067.0888,18421.8968,6538.5716,12015.9412,7036.8132,6433.9036,5482.1372,10382.6820,7157.5924
ND,Equinor ASA (EQNR),Equinor ASA,EQNR,sat estimated volume,Mcf,197099,192951,754368,351010,222424,353147,244895,256758,107397,235070,172294,702744,549902,218470,153190,117430,154719,170870,108808,252184,98781,184360,107132,88998,69421,187490,130613
ND,Equinor ASA (EQNR),Equinor ASA,EQNR,reported volume,Mcf,355937,247442,607991,552475,366285,561707,396255,296766,234412,436683,455368,633608,397285,411086,494158,324886,272361,230899,258603,420148,139853,254178,149686,145816,130658,191440,
ND,Equinor ASA (EQNR),Equinor ASA,EQNR,sat estimate lower,Mcf,125037,122405,478559,222675,141102,224031,155358,162884,68131,149125,109301,445810,348849,138594,97182,74495,98152,108397,69026,159982,62665,116955,67963,56459,44040,118941,82859
ND,Equinor ASA (EQNR),Equinor ASA,EQNR,sat estimate upper,Mcf,269162,263496,1030176,479345,303746,482263,334432,350633,146662,321015,235288,959678,750954,298346,209199,160364,211287,233343,148591,344387,134897,251765,146301,121537,94802,256040,178367
ND,Equinor ASA (EQNR),Equinor ASA,EQNR,blended estimate,Mcf,276518,220196,681179,451743,294355,457427,320575,276762,170904,335876,313831,668176,473593,314778,323674,221158,213540,200885,183706,336166,119317,219269,128409,117407,100039,189465,130613
ND,Equinor ASA (EQNR),Equinor ASA,EQNR,produced oil,Bbl,1574907,1225003,1750378,1834358,1784113,1644214,1564313,1569093,1619730,1806311,1757061,1754598,1695092,1764128,1763111,1528728,1516117,1340498,1288329,1253028,1242888,1192902,1117469,1103721,1014420,814298,
ND,Equinor ASA (EQNR),Equinor ASA,EQNR,produced gas,Mcf,2553484,1945834,2891622,3260248,3222698,3068571,2950191,2759415,3000660,3499264,3686130,3508696,3689784,3914644,4316755,3971522,3975651,3755271,3761884,3570681,3608142,3671173,3426315,3467417,3235267,2646931,
ND,Exxon Mobil Corp (XOM),Exxon Mobil Corp,XOM,blended estimate equivalent co2 released,Metric tons,34221.0108,37907.1328,106141.9008,63401.5724,57312.1964,61183.9808,104565.4692,69300.0800,39192.9052,45811.6492,31012.4160,25251.6208,29234.3752,19915.1968,27099.8056,13287.7944,5627.9600,9000.4068,20848.4956,27883.2812,32591.1492,30787.6812,28591.5164,24092.4912,22231.9764,27255.2732,13834.8080
ND,Exxon Mobil Corp (XOM),Exxon Mobil Corp,XOM,reported equivalent co2 released,Metric tons,39658.5408,45122.7036,91492.0524,78268.5384,73698.3828,71983.5812,106173.6848,81423.4840,53221.7600,65862.1472,46218.2104,36902.6488,38142.2796,27190.3900,32912.1128,17785.4496,7519.5464,12572.8736,26997.9324,32230.6748,37495.2560,37734.4580,34583.0744,34858.0060,36825.7096,37285.5912,23471.9908
ND,Exxon Mobil Corp (XOM),Exxon Mobil Corp,XOM,sat estimated volume,Mcf,525247,560065,2204229,885669,746825,919424,1878782,1043371,459198,470094,288441,248187,370921,230658,388457,160404,68183,99049,268230,429487,505239,435053,412408,243194,139385,314323,252460
ND,Exxon Mobil Corp (XOM),Exxon Mobil Corp,XOM,reported volume,Mcf,723696,823407,1669563,1428258,1344861,1313569,1937476,1485830,971200,1201864,843398,673406,696027,496175,600586,324552,137218,229432,492663,588151,684220,688585,631078,636095,672002,680394,428321
ND,Exxon Mobil Corp (XOM),Exxon Mobil Corp,XOM,sat estimate lower,Mcf,263152,280596,1104333,443726,374164,460637,941282,522736,230061,235520,144511,124343,185834,115561,194620,80363,34160,49624,134385,215176,253128,217964,206619,121842,69833,157478,126484
ND,Exxon Mobil Corp (XOM),Exxon Mobil Corp,XOM,sat estimate upper,Mcf,787341,839533,3304125,1327612,1119486,1378210,2816282,1564006,688334,704667,432372,372030,556009,345755,582295,240445,102205,148475,402075,643799,757350,652141,618197,364546,208936,471168,378437
ND,Exxon Mobil Corp (XOM),Exxon Mobil Corp,XOM,blended estimate,Mcf,624471,691736,1936896,1156963,1045843,1116496,1908129,1264600,715199,835979,565920,460796,533474,363416,494522,242478,102700,164241,380447,508819,594729,561819,521743,439644,405693,497359,252460
ND,Exxon Mobil Corp (XOM),Exxon Mobil Corp,XOM,produced oil,Bbl,2078835,1827142,2592327,2523989,2633708,2810302,3072811,2799442,2446500,2680281,2203411,2248473,2131042,2076406,2325298,2148284,1492438,2010525,2523258,2711929,2426893,2473944,2196451,2278762,2312459,1961724,
ND,Exxon Mobil Corp (XOM),Exxon Mobil Corp,XOM,produced gas,Mcf,5484123,4926585,5900534,5817006,6082595,6528301,6899322,6514765,5553050,5989787,5156583,5236622,5040546,4866789,5465183,5280093,3942361,4971002,6178398,6593617,6094371,6183153,5399220,5816946,6110121,5237105,
ND,Hess Corp (HES),Hess Corp,HES,reported equivalent co2 released,Metric tons,115058.2992,82197.9724,121778.3684,91185.1176,57409.7952,80321.0724,82264.1708,87738.8552,55756.9724,75659.0720,87667.8344,82166.7912,82004.2544,70508.2556,96556.3396,70651.6124,80762.2124,65594.7232,58947.0448,65292.1176,51687.7436,42498.2220,27864.5396,23184.6744,22538.1988,25717.1468,
