state,combined_name,company_name,ticker,product_type,product_units,jan_2019,feb_2019,mar_2019,apr_2019,may_2019,jun_2019,jul_2019,aug_2019,sep_2019,oct_2019,nov_2019,dec_2019,jan_2020,feb_2020,mar_2020,apr_2020,may_2020,jun_2020,jul_2020,aug_2020,sep_2020,oct_2020,nov_2020,dec_2020,jan_2021,feb_2021
ND,Bruin EP Partners LLC (Private),Bruin EP Partners LLC,Private,reported equivalent co2 released,metric tons,50326.3,45442.7,52074.0,53453.6,69678.6,79911.1,92807.9,63474.7,48356.5,37534.8,58590.3,32149.3,27236.9,19347.3,14330.6,7191.5,4954.0,8235.8,7750.7,7525.8,8512.4,11412.9,11079.6,8215.0,6685.3,
ND,Bruin EP Partners LLC (Private),Bruin EP Partners LLC,Private,sat estimate lower,Mcf,842506,958602,1079149,742193,818669,1347324,1308913,941363,631443,411016,600929,382774,355808,280536,119986,136884,89980,105373,36930,26318,18550,27986,15195,20785,10759,36068
ND,Bruin EP Partners LLC (Private),Bruin EP Partners LLC,Private,sat estimate upper,Mcf,1121117,1275605,1436016,987631,1089397,1792875,1741761,1252665,840257,546937,799653,509354,473472,373307,159664,182151,119736,140218,49142,35021,24684,37241,20219,27658,14318,47996
ND,Bruin EP Partners LLC (Private),Bruin EP Partners LLC,Private,blended estimate,Mcf,950087,973175,1103919,920172,1112770,1514165,1609456,1127655,809133,581959,884729,516365,455832,339987,200667,145375,97630,136542,92236,84001,88476,120439,109945,87065,12538,42032
ND,Bruin EP Partners LLC (Private),Bruin EP Partners LLC,Private,blended estimate equivalent co2 released,metric tons,52064.8,53330.0,60494.8,50425.4,60979.8,82976.2,88198.2,61795.5,44340.5,31891.4,48483.1,28296.8,24979.6,18631.3,10996.6,7966.6,5350.1,7482.5,5054.5,4603.3,4848.5,6600.1,6025.0,4771.2,687.1,2303.4
ND,Bruin EP Partners LLC (Private),Bruin EP Partners LLC,Private,produced oil,Bbl,1367929,1319756,1491801,1286247,1421001,1457412,1533532,1448520,1356933,1292438,1601095,1407539,1322137,1071955,993143,826125,504206,628532,753937,710624,692405,743952,710041,711633,674859,
ND,Bruin EP Partners LLC (Private),Bruin EP Partners LLC,Private,produced gas,Mcf,2473986,2280618,2919673,2610212,2983629,3156617,3466292,3426276,3004819,2786655,3292563,3077502,3184578,2836983,2878547,2160238,1193844,1523516,1781659,1747739,1638310,1797527,1711974,1759510,1755390,
ND,ConocoPhillips Co (COP),ConocoPhillips Co,COP,sat estimated volume,Mcf,856005,610300,1232278,880077,979078,1117388,1212514,1126702,765575,598971,552603,644917,656331,513372,599554,585535,137217,50175,124587,365131,541716,417708,427377,434182,334416,464088
ND,ConocoPhillips Co (COP),ConocoPhillips Co,COP,reported volume,Mcf,464634,269842,1017042,1419015,1234582,973536,1240796,981076,891826,758479,913588,581208,671923,489881,497068,281424,94776,94930,125151,290449,317081,336971,321171,174806,160851,
ND,ConocoPhillips Co (COP),ConocoPhillips Co,COP,reported equivalent co2 released,metric tons,25461.9,14787.3,55733.9,77762.0,67655.1,53349.8,67995.6,53763.0,48872.1,41564.6,50064.6,31850.2,36821.4,26845.5,27239.3,15422.0,5193.7,5202.2,6858.3,15916.6,17376.0,18466.0,17600.2,9579.4,8814.6,
ND,ConocoPhillips Co (COP),ConocoPhillips Co,COP,sat estimate lower,Mcf,807421,575662,1162338,830127,923509,1053969,1143696,1062754,722124,564976,521239,608314,619080,484235,565526,552302,129429,47327,117516,344407,510970,394001,403121,409539,315435,437748
ND,ConocoPhillips Co (COP),ConocoPhillips Co,COP,sat estimate upper,Mcf,904589,644938,1302217,930027,1034647,1180807,1281332,1190649,809026,632967,583966,681520,693582,542509,633583,618768,145005,53022,131658,385854,572462,441416,451633,458825,353396,490427
ND,ConocoPhillips Co (COP),ConocoPhillips Co,COP,blended estimate,Mcf,660320,440071,1124660,1149546,1106830,1045462,1226655,1053889,828701,678725,733095,613062,664127,501626,548311,433480,115997,72552,124869,327790,429398,377340,374274,304494,334416,464088
ND,ConocoPhillips Co (COP),ConocoPhillips Co,COP,blended estimate equivalent co2 released,metric tons,36185.5,24115.9,61631.4,62995.1,60654.3,57291.3,67220.7,57753.1,45412.8,37194.1,40173.6,33595.8,36394.2,27489.1,30047.4,23754.7,6356.6,3975.8,6842.8,17962.9,23531.0,20678.2,20510.2,16686.3,18326.0,25432.0
ND,ConocoPhillips Co (COP),ConocoPhillips Co,COP,produced oil,Bbl,3271769,2382795,2880232,3266516,3177262,2835360,2938158,3009813,2681555,2858862,2689140,2583805,2584538,2518983,2729719,2737168,1113658,364161,1429923,2422599,2791755,2949637,2439565,2589569,2501486,
ND,ConocoPhillips Co (COP),ConocoPhillips Co,COP,produced gas,Mcf,4711601,3519719,5478969,6253954,6285588,5861991,6042138,6310682,5654501,5933141,5744443,5447793,5429361,5432765,6166119,6343040,2264373,739658,2653569,4834581,5864503,6602391,5471685,6225022,6443143,
ND,Continental Resources Inc (CLR),Continental Resources Inc,CLR,sat estimated volume,Mcf,1950026,1663436,2838590,1276043,1737660,2729982,2630669,2052909,2236134,1947394,1559001,1622210,1392408,1481667,1881423,1732497,1169560,60107,590835,754238,933046,486297,896163,682241,391440,963736
ND,Continental Resources Inc (CLR),Continental Resources Inc,CLR,reported volume,Mcf,1856341,1758061,1837037,1894631,1958112,3116528,2676018,2085211,2466940,2314213,2267487,1928761,1545338,1374183,1655110,1548309,1032959,522415,785067,844773,742360,731180,833471,672474,586958,
ND,Continental Resources Inc (CLR),Continental Resources Inc,CLR,reported equivalent co2 released,metric tons,101727.5,96341.7,100669.6,103825.8,107304.5,170785.7,146645.8,114269.6,135188.3,126818.9,124258.3,105696.1,84684.5,75305.2,90700.0,84847.3,56606.2,28628.3,43021.7,46293.6,40681.3,40068.7,45674.2,36851.6,32165.3,
ND,Continental Resources Inc (CLR),Continental Resources Inc,CLR,sat estimate lower,Mcf,1816417,1549463,2644098,1188612,1618601,2542932,2450423,1912249,2082921,1813964,1452183,1511061,1297004,1380147,1752513,1613791,1089425,55988,550352,702560,869117,452978,834760,635496,364620,897704
ND,Continental Resources Inc (CLR),Continental Resources Inc,CLR,sat estimate upper,Mcf,2083636,1777410,3033081,1363473,1856719,2917033,2810914,2193568,2389347,2080823,1665819,1733358,1487811,1583186,2010332,1851202,1249694,64225,631317,805916,996976,519617,957565,728986,418260,1029768
ND,Continental Resources Inc (CLR),Continental Resources Inc,CLR,blended estimate,Mcf,1903184,1710749,2337813,1585337,1847886,2923255,2653343,2069060,2351537,2130803,1913244,1775485,1468873,1427925,1768266,1640403,1101259,291261,687951,799506,837703,608739,864817,677358,391440,963736
ND,Continental Resources Inc (CLR),Continental Resources Inc,CLR,blended estimate equivalent co2 released,metric tons,104294.5,93749.0,128112.2,86876.5,101264.2,160194.4,145403.2,113384.5,128864.2,116768.0,104845.8,97296.6,80494.2,78250.3,96901.0,89894.1,60349.0,15961.1,37699.7,43812.9,45906.1,33358.9,47392.0,37119.2,21450.9,52812.7
ND,Continental Resources Inc (CLR),Continental Resources Inc,CLR,produced oil,Bbl,6276261,5449428,6051135,5836601,5974989,5763305,6088272,6151821,6043841,6394801,6143911,5752776,5840419,5389212,6166157,4461595,2340825,707790,3133681,5438433,5619381,5595634,5345759,4934652,4613576,
ND,Continental Resources Inc (CLR),Continental Resources Inc,CLR,produced gas,Mcf,12874897,11380027,13050488,12904740,12986295,12675069,13426085,13850555,13728369,14721957,14622080,14672435,15196385,14548642,16549475,12118567,5784247,1768773,7127381,13114646,14430138,15382416,15366774,14848785,13875164,
ND,Crescent Point Energy Corp (CPG),Crescent Point Energy Corp,CPG,sat estimated volume,Mcf,161505,97417,147684,79761,28561,50070,15922,17441,32739,23161,16471,62972,239919,97945,41787,74829,49718,46522,38931,116157,22728,18376,7502,17864,21428,20381
ND,Crescent Point Energy Corp (CPG),Crescent Point Energy Corp,CPG,reported volume,Mcf,210049,285216,55817,46259,72784,153152,53922,36648,25628,30334,69137,30166,242702,133322,130535,73101,11896,16245,38244,135903,10764,23087,11319,28467,32543,
ND,Crescent Point Energy Corp (CPG),Crescent Point Energy Corp,CPG,reported equivalent co2 released,metric tons,11510.7,15629.8,3058.8,2535.0,3988.6,8392.7,2954.9,2008.3,1404.4,1662.3,3788.7,1653.1,13300.1,7306.0,7153.3,4005.9,651.9,890.2,2095.8,7447.5,589.9,1265.2,620.3,1560.0,1783.4,
ND,Crescent Point Energy Corp (CPG),Crescent Point Energy Corp,CPG,sat estimate lower,Mcf,159848,96418,146169,78942,28268,49556,15759,17262,32403,22924,16302,62326,237458,96940,41358,74061,49208,46045,38532,114965,22495,18188,7425,17681,21208,20172
ND,Crescent Point Energy Corp (CPG),Crescent Point Energy Corp,CPG,sat estimate upper,Mcf,163162,98417,149199,80579,28854,50584,16086,17619,33075,23399,16640,63618,242380,98950,42216,75597,50228,46999,39330,117349,22961,18565,7579,18047,21648,20591
ND,Crescent Point Energy Corp (CPG),Crescent Point Energy Corp,CPG,blended estimate,Mcf,185777,191317,101751,63010,50673,101611,34922,27044,29183,26748,42804,46569,241311,115634,86161,73965,30807,31383,38588,126030,16746,20732,9410,23165,21428,20381
ND,Crescent Point Energy Corp (CPG),Crescent Point Energy Corp,CPG,blended estimate equivalent co2 released,metric tons,10180.6,10484.2,5576.0,3452.9,2776.9,5568.3,1913.7,1482.0,1599.2,1465.8,2345.7,2552.0,13223.8,6336.7,4721.6,4053.3,1688.2,1719.8,2114.6,6906.4,917.7,1136.1,515.7,1269.4,1174.3,1116.9
ND,Crescent Point Energy Corp (CPG),Crescent Point Energy Corp,CPG,produced oil,Bbl,604293,528303,556119,478176,446112,343548,277267,320810,361401,455607,501193,552884,587720,501230,522968,455366,347888,392100,372832,377427,406615,380269,334961,387892,534344,
ND,Crescent Point Energy Corp (CPG),Crescent Point Energy Corp,CPG,produced gas,Mcf,689246,695987,587995,580959,714142,644182,550730,502245,485083,550445,620757,604091,702221,658082,699046,649316,475997,496122,526200,544437,583629,573420,557253,628440,737864,
ND,Denbury Resources Inc (DNR),Denbury Resources Inc,DNR,sat estimated volume,Mcf,525,594,,764,13886,15473,23505,38743,43187,28792,23265,23960,23412,27039,18049,19152,20484,15135,24379,26338,22804,16161,14989,16370,8618,10807
ND,Denbury Resources Inc (DNR),Denbury Resources Inc,DNR,reported volume,Mcf,3593,1196,,5710,13321,18016,30527,23590,23339,26321,31312,30607,30465,29871,29415,27392,27213,28125,35763,38827,39107,37607,35990,37646,37350,
ND,Denbury Resources Inc (DNR),Denbury Resources Inc,DNR,reported equivalent co2 released,metric tons,196.9,65.5,,312.9,730.0,987.3,1672.9,1292.7,1279.0,1442.4,1715.9,1677.3,1669.5,1636.9,1611.9,1501.1,1491.3,1541.2,1959.8,2127.7,2143.1,2060.9,1972.3,2063.0,2046.8,
ND,Denbury Resources Inc (DNR),Denbury Resources Inc,DNR,sat estimate lower,Mcf,397,448,,577,10484,11682,17747,29252,32606,21738,17565,18090,17676,20415,13627,14460,15465,11427,18406,19886,17217,12202,11317,12360,6507,8159
ND,Denbury Resources Inc (DNR),Denbury Resources Inc,DNR,sat estimate upper,Mcf,654,739,,951,17288,19263,29264,48235,53767,35846,28965,29830,29148,33664,22471,23844,25502,18843,30351,32791,28390,20120,18661,20381,10730,13454
ND,Denbury Resources Inc (DNR),Denbury Resources Inc,DNR,blended estimate,Mcf,2059,895,,3237,13603,16744,27016,31167,33263,27556,27289,27283,26939,28455,23732,23272,23848,21630,30071,32583,30955,26884,25490,27008,8618,10807
ND,Denbury Resources Inc (DNR),Denbury Resources Inc,DNR,blended estimate equivalent co2 released,metric tons,112.8,49.0,,177.4,745.4,917.6,1480.5,1708.0,1822.8,1510.1,1495.4,1495.1,1476.3,1559.3,1300.5,1275.3,1306.9,1185.3,1647.9,1785.5,1696.3,1473.2,1396.9,1480.0,472.3,592.2
ND,Denbury Resources Inc (DNR),Denbury Resources Inc,DNR,produced oil,Bbl,201850,176079,,185675,191595,181429,180485,183316,176969,180076,174050,172769,174362,161646,172163,164397,152062,151581,153616,147125,149398,152209,148232,151284,154776,
ND,Denbury Resources Inc (DNR),Denbury Resources Inc,DNR,produced gas,Mcf,56172,42999,,45518,43024,44877,34616,27679,27299,30410,35272,34696,34554,33702,33504,31352,31302,32083,39844,42899,43054,41680,39935,41732,41418,
ND,Devon Energy Corp (DVN),Devon Energy Corp,DVN,sat estimated volume,Mcf,260758,281564,403259,186911,327753,551600,721833,660599,377115,558226,377406,512839,486153,429623,500109,455711,199259,249458,278394,308664,426476,620772,850188,512755,228043,248063
ND,Devon Energy Corp (DVN),Devon Energy Corp,DVN,reported volume,Mcf,711705,522355,578302,471325,618162,732471,793116,677743,557509,899107,785316,774970,676644,754572,886831,616532,228690,444438,428494,451974,493099,813933,772875,657805,497127,
ND,Devon Energy Corp (DVN),Devon Energy Corp,DVN,reported equivalent co2 released,metric tons,39001.4,28625.1,31690.9,25828.6,33875.3,40139.4,43462.8,37140.3,30551.5,49271.1,43035.3,42468.4,37080.1,41350.5,48598.3,33786.0,12532.2,24355.2,23481.5,24768.2,27021.8,44603.5,42353.6,36047.7,27242.6,
ND,Devon Energy Corp (DVN),Devon Energy Corp,DVN,sat estimate lower,Mcf,178150,192364,275506,127697,223920,376852,493155,451320,257644,381379,257843,350370,332139,293518,341674,311341,136133,170430,190198,210879,291367,424111,580847,350314,155798,169476
ND,Devon Energy Corp (DVN),Devon Energy Corp,DVN,sat estimate upper,Mcf,343367,370763,531012,246125,431585,726348,950511,869878,496585,735073,496968,675307,640167,565729,658545,600081,262384,328487,366589,406449,561584,817434,1119529,675197,300287,326649
ND,Devon Energy Corp (DVN),Devon Energy Corp,DVN,blended estimate,Mcf,486232,401959,490780,329118,472957,642036,757474,669171,467312,728667,581361,643904,581398,592098,693470,536121,213974,346948,353444,380319,459787,717353,811531,585280,228043,248063
ND,Devon Energy Corp (DVN),Devon Energy Corp,DVN,blended estimate equivalent co2 released,metric tons,26645.5,22027.4,26894.7,18035.7,25918.0,35183.6,41509.6,36670.6,25608.7,39931.0,31858.6,35285.9,31860.6,32447.0,38002.2,29379.4,11725.8,19012.8,19368.7,20841.5,25196.3,39310.9,44471.9,32073.3,12496.8,13593.9
ND,Devon Energy Corp (DVN),Devon Energy Corp,DVN,produced oil,Bbl,2430061,1993918,2297963,2180290,2189786,2338279,2616867,2746030,2630747,2839375,2711290,2896821,2846071,2777763,2853240,2603228,1787765,2072247,2149617,2438995,2419133,3072500,3431910,3164057,2741143,
ND,Devon Energy Corp (DVN),Devon Energy Corp,DVN,produced gas,Mcf,3048610,2436449,2863939,2789073,2799557,2864600,3266886,3518325,3763319,4109675,4024052,4006044,3983792,3992100,4222767,3928279,3020848,3315570,3521001,3955789,3993196,4837815,5129639,5137146,4738660,
ND,EOG Resources Inc (EOG),EOG Resources Inc,EOG,sat estimated volume,Mcf,41536,48620,104480,73001,65602,53375,63649,109840,91422,143129,108615,188687,85660,36581,37259,24062,8601,39162,38476,38266,15316,12334,4326,12610,7665,8283
ND,EOG Resources Inc (EOG),EOG Resources Inc,EOG,reported volume,Mcf,127760,164084,155198,119065,143757,177505,63289,83990,122396,167541,75032,137764,69886,56810,32041,19120,59613,29558,24853,25641,14195,11518,14929,17312,9417,
ND,EOG Resources Inc (EOG),EOG Resources Inc,EOG,reported equivalent co2 released,metric tons,7001.2,8991.8,8504.9,6524.8,7877.9,9727.3,3468.2,4602.7,6707.3,9181.2,4111.8,7549.5,3829.8,3113.2,1755.8,1047.8,3266.8,1619.8,1361.9,1405.1,777.9,631.2,818.1,948.7,516.1,
ND,EOG Resources Inc (EOG),EOG Resources Inc,EOG,sat estimate lower,Mcf,37361,43732,93977,65663,59007,48009,57250,98798,82231,128741,97696,169719,77048,32903,33514,21643,7736,35225,34608,34419,13776,11094,3891,11343,6895,7450
ND,EOG Resources Inc (EOG),EOG Resources Inc,EOG,sat estimate upper,Mcf,45712,53508,114983,80340,72196,58740,70047,120882,100612,157518,119534,207656,94271,40258,41005,26481,9465,43099,42344,42113,16856,13574,4761,13878,8436,9115
ND,EOG Resources Inc (EOG),EOG Resources Inc,EOG,blended estimate,Mcf,84648,106352,129839,96033,104679,115440,63469,96915,106909,155335,91823,163226,77773,46695,34650,21591,34107,34360,31665,31954,14755,11926,9628,14961,7665,8283
ND,EOG Resources Inc (EOG),EOG Resources Inc,EOG,blended estimate equivalent co2 released,metric tons,4638.7,5828.1,7115.2,5262.6,5736.4,6326.1,3478.1,5310.9,5858.6,8512.4,5031.9,8944.8,4262.0,2558.9,1898.8,1183.2,1869.1,1882.9,1735.2,1751.1,808.6,653.5,527.6,819.9,420.0,453.9
TX,Hawkwood Energy LLC (Private),Hawkwood Energy LLC,Private,sat estimate upper,Mcf,4296,,,916,23657,4519,5635,14111,3781,,,23897,246,1388,699,561,2208,526,1266,515,,325,,747,408,
ND,EOG Resources Inc (EOG),EOG Resources Inc,EOG,produced oil,Bbl,1369532,1139757,1165886,1036509,1048430,741939,868100,1153671,1580369,1791118,1572718,1451870,1219842,1145554,1144014,761041,219623,766365,929560,955438,854803,865458,902482,872646,823018,
ND,EOG Resources Inc (EOG),EOG Resources Inc,EOG,produced gas,Mcf,2862586,2435026,2588504,2415703,2524478,1927698,2111270,2493139,2997012,3403757,3277757,3363401,2998898,3006002,2919366,1680115,321896,1620885,2012150,2351746,2207892,2369793,2433793,2527909,2499321,
ND,Enerplus Corp (ERF),Enerplus Corp,ERF,sat estimated volume,Mcf,77305,34243,115663,87127,138016,158386,399943,193555,162281,202698,130410,146598,131703,144536,214904,201352,80262,177092,177160,193796,165284,89803,97782,64214,37010,51098
ND,Enerplus Corp (ERF),Enerplus Corp,ERF,reported volume,Mcf,179883,174148,131875,264784,252082,358462,755323,326108,526978,391909,272912,320459,204126,154593,177771,150594,134322,197946,125189,221297,126829,114134,139561,157017,161797,
ND,Enerplus Corp (ERF),Enerplus Corp,ERF,reported equivalent co2 released,metric tons,9857.6,9543.3,7226.8,14510.2,13814.1,19643.7,41391.7,17870.7,28878.4,21476.6,14955.6,17561.2,11186.1,8471.7,9741.9,8252.6,7360.8,10847.4,6860.4,12127.1,6950.2,6254.5,7647.9,8604.5,8866.5,
ND,Enerplus Corp (ERF),Enerplus Corp,ERF,sat estimate lower,Mcf,49640,21989,74271,55947,88625,101705,256817,124288,104206,130159,83741,94135,84571,92811,137997,129295,51539,113717,113761,124443,106135,57665,62789,41234,23765,32812
ND,Enerplus Corp (ERF),Enerplus Corp,ERF,sat estimate upper,Mcf,104970,46498,157055,118306,187407,215066,543070,262821,220356,275237,177080,199060,178834,196260,291811,273409,108985,240467,240560,263148,224434,121940,132774,87194,50255,69384
ND,Enerplus Corp (ERF),Enerplus Corp,ERF,blended estimate,Mcf,128594,104196,123769,175955,195049,258424,577633,259831,344630,297304,201661,233528,167914,149564,196337,175973,107292,187519,151175,207546,146057,101968,118671,110616,37010,51098
ND,Enerplus Corp (ERF),Enerplus Corp,ERF,blended estimate equivalent co2 released,metric tons,7047.0,5709.9,6782.5,9642.3,10688.7,14161.6,31654.3,14238.7,18885.7,16292.3,11051.0,12797.3,9201.7,8196.1,10759.3,9643.3,5879.6,10276.0,8284.4,11373.5,8003.9,5587.8,6503.2,6061.8,2028.1,2800.2
ND,Enerplus Corp (ERF),Enerplus Corp,ERF,produced oil,Bbl,984464,837567,967451,1134312,1194944,1148917,1476844,1386878,1384774,1490303,1389652,1340608,1134250,1163444,1323435,1091087,975315,1176840,1228092,1117721,1038387,1014118,966433,969243,935846,
ND,Enerplus Corp (ERF),Enerplus Corp,ERF,produced gas,Mcf,1272127,1086476,1233642,1424140,1455964,1501564,1896672,1860098,1970793,1883196,1800999,1771024,1556476,1696903,1911015,1498864,1453522,1693185,1733476,1885979,1810126,1789345,1527109,1558071,1629453,
ND,Equinor ASA (EQNR),Equinor ASA,EQNR,sat estimated volume,Mcf,175147,171461,670350,311917,197652,313816,217620,228162,95435,208889,153105,624477,488657,194138,136129,104351,137488,151840,96690,224097,87779,163827,95200,79086,61689,166609
ND,Equinor ASA (EQNR),Equinor ASA,EQNR,reported volume,Mcf,355937,247442,607991,552475,366285,561685,396255,303012,234412,436683,455368,633608,397285,411086,494158,324886,272401,236917,258595,420148,139853,254178,149686,139482,121136,
ND,Equinor ASA (EQNR),Equinor ASA,EQNR,reported equivalent co2 released,metric tons,19505.3,13559.8,33317.9,30275.6,20072.4,30780.3,21714.8,16605.1,12845.8,23930.2,24954.2,34721.7,21771.2,22527.5,27079.9,17803.8,14927.6,12983.1,14171.0,23024.1,7663.9,13929.0,8202.8,7643.6,6638.3,
ND,Equinor ASA (EQNR),Equinor ASA,EQNR,sat estimate lower,Mcf,94572,92581,361959,168421,106723,169447,117505,123197,51531,112791,82670,337190,263853,104826,73504,56345,74237,81987,52208,121003,47397,88459,51404,42703,33309,89961
ND,Equinor ASA (EQNR),Equinor ASA,EQNR,sat estimate upper,Mcf,255723,250340,978741,455413,288580,458185,317735,333127,139340,304987,223540,911763,713461,283451,198754,152357,200738,221693,141172,327192,128162,239195,138997,115469,90069,243256
ND,Equinor ASA (EQNR),Equinor ASA,EQNR,blended estimate,Mcf,265542,209451,639171,432196,281968,437750,306938,265587,164924,322786,304236,629042,442971,302612,315144,214618,204944,194378,177643,322123,113816,209003,122443,109284,61689,166609
ND,Equinor ASA (EQNR),Equinor ASA,EQNR,blended estimate equivalent co2 released,metric tons,14551.7,11477.9,35026.6,23684.3,15451.8,23988.7,16820.2,14554.2,9037.8,17688.7,16672.1,34471.5,24274.8,16583.1,17269.9,11761.1,11230.9,10651.9,9734.8,17652.3,6237.1,11453.4,6709.9,5988.8,3380.6,9130.2
ND,Equinor ASA (EQNR),Equinor ASA,EQNR,produced oil,Bbl,1574907,1225003,1750378,1834358,1784113,1644214,1564313,1569093,1619730,1806311,1757061,1754598,1695092,1764128,1763111,1528728,1516117,1340498,1288329,1253028,1242888,1192902,1117469,1103721,1014420,
ND,Equinor ASA (EQNR),Equinor ASA,EQNR,produced gas,Mcf,2553484,1945834,2891622,3260248,3222698,3068571,2950191,2759415,3000660,3499264,3686130,3508696,3689784,3914644,4316755,3971522,3975651,3755271,3761884,3570681,3608142,3671173,3426315,3467417,3235267,
ND,Exxon Mobil Corp (XOM),Exxon Mobil Corp,XOM,sat estimated volume,Mcf,514497,548603,2159118,867543,731541,900607,1840332,1022018,449800,460473,282538,243107,363330,225937,380507,157121,66787,97022,262741,420698,494899,426149,403968,238217,136532,310391
ND,Exxon Mobil Corp (XOM),Exxon Mobil Corp,XOM,reported volume,Mcf,726155,827586,1671183,1429319,1345917,1315677,1934442,1478658,971497,1202670,846502,673698,696275,496337,600698,324810,137480,229703,492671,588945,685211,665859,625333,639841,688610,
ND,Exxon Mobil Corp (XOM),Exxon Mobil Corp,XOM,reported equivalent co2 released,metric tons,39793.3,45351.7,91580.8,78326.7,73756.3,72099.1,106007.4,81030.5,53238.0,65906.3,46388.3,36918.7,38155.9,27199.3,32918.3,17799.6,7533.9,12587.7,26998.4,32274.2,37549.6,36489.1,34268.2,35063.3,37735.8,
ND,Exxon Mobil Corp (XOM),Exxon Mobil Corp,XOM,sat estimate lower,Mcf,264014,281515,1107949,445179,375390,462146,944364,524447,230814,236291,144984,124750,186443,115939,195257,80627,34272,49787,134825,215881,253957,218678,207296,122241,70061,159277
ND,Exxon Mobil Corp (XOM),Exxon Mobil Corp,XOM,sat estimate upper,Mcf,764980,815690,3210287,1289907,1087693,1339068,2736299,1519588,668785,684655,420092,361464,540218,335935,565758,233616,99303,144258,390656,625515,735841,633620,600640,354193,203003,461505
ND,Exxon Mobil Corp (XOM),Exxon Mobil Corp,XOM,blended estimate,Mcf,620326,688094,1915151,1148431,1038729,1108142,1887387,1250338,710648,831571,564520,458403,529803,361137,490603,240966,102134,163363,377706,504821,590055,546004,514650,439029,136532,310391
ND,Exxon Mobil Corp (XOM),Exxon Mobil Corp,XOM,blended estimate equivalent co2 released,metric tons,33993.9,37707.6,104950.3,62934.0,56922.3,60726.2,103428.8,68518.5,38943.5,45570.1,30935.7,25120.5,29033.2,19790.3,26885.0,13204.9,5596.9,8952.3,20698.3,27664.2,32335.0,29921.0,28202.8,24058.8,7482.0,17009.4
